Xが溢れる,116.50000000000000000000
Xが湧く,100.80000000000000000000
Xが満ちる,94.40000000000000000000
Xが渦巻く,93.10000000000000000000
Xを撒き散らす,92.80000000000000000000
Xを汲み取る,92.30000000000000000000
Xが流れ出る,91.40000000000000000000
Xに溺れる,89.60000000000000000000
Xが溜まる,88.60000000000000000000
Xがこぼれる,88.20000000000000000000
Xに浸る,87.20000000000000000000
Xが滲む,84.90000000000000000000
Xが漏れる,84.50000000000000000000
Xがほとばしる,81.80000000000000000000
Xを浴びせる,78.00000000000000000000
Xを搾り出す,77.60000000000000000000
Xを注ぐ,73.50000000000000000000
Xが流れる,73.20000000000000000000
Xに漬かる,71.40000000000000000000
Xに沈む,70.70000000000000000000
Xがしみる,70.00000000000000000000
Xを撒く,68.90000000000000000000
Xが淀む,64.50000000000000000000
Xをかける,60.90000000000000000000
Xが濁る,58.90000000000000000000
Xが沸騰する,58.00000000000000000000
Xを飲む,56.70000000000000000000
Xが滴る,55.90000000000000000000
Xが澄む,53.80000000000000000000
Xに浸す,52.40000000000000000000
Xを垂らす,43.40000000000000000000
Xに浮く,39.90000000000000000000
Xを啜る,32.60000000000000000000
Xですすぐ,26.60000000000000000000
